Player,Nation,Pos,Squad,Age,Born,90s,Comp,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live_x,Take Ons - Attempted,Succ,Succ%,Tkld,Tkld%,Carries,Carries - TotDist,Carries - PrgDist,Carries - PrgC,Carries - 1/3,Carries - CPA,Carries - Mis,Carries - Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off_x,Crs_x,Int_x,TklW_x,PKwon,PKcon,OG,Recov,Won,Lost_x,Won%,Total - Cmp,Total - Att,Total - Cmp%,TotDist,PrgDist,Short - Cmp,Short - Att,Short - Cmp%,Medium - Cmp,Medium - Att,Medium - Cmp%,Long - Cmp,Long - Att,Long - Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Total - Tkl,TklW_y,Tackles - Def 3rd,Tackles - Mid 3rd,Tackles - Att 3rd,Dribblers- Tkl,Att_x,Tkl%,Lost_y,Total Blocks,Shots Blocked,Passes Blocked,Int_y,Tkl+Int,Clr,Err,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK_x,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,SCA,SCA90,SCA - PassLive,SCA - PassDead,TO,SCA - Sh,SCA - Fld,SCA - Def,GCA,GCA90,GCA - PassLive,GCA - PassDead,TO,GCA - Sh,GCA - Fld,GCA - Def,Att_y,Live_y,Dead,FK_y,TB,Sw,Crs_y,TI,CK,In,Out,Str,Cmp,Off_y,Blocks,position_group
Joshua Acheampong,eng ENG,DF,Chelsea,18-344,2006,1.9,eng Premier League,137,7,48,81,8,3,137,2,1,50.0,0,0.0,106,709,409,0,2,0,2,0,111,0,1,0,0,0,1,0,0,1,1,0,0,0,7,1,6,14.3,104,124,83.9,2025,705,29,32,90.6,63,68,92.6,11,20,55.0,0,0.0,0.0,0.0,0,6,0,0,8,2,1,2,0,0,2,2,100.0,0,1,0,1,1,3,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,1.06,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,124,121,3,2,0,0,0,1,0,0,0,0,104,0,2,Defender
Akor Adams,ng NGA,FW,Sevilla,25-075,2000,1.5,es La Liga,34,1,4,18,12,1,34,1,1,100.0,0,0.0,5,18,0,0,0,0,2,0,20,5,0,0,0,1,0,1,0,0,0,0,0,0,4,6,10,37.5,20,27,74.1,334,48,9,12,75.0,7,9,77.8,3,5,60.0,0,0.0,0.0,0.0,0,3,1,0,5,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,1,50.0,1.34,0.67,0.0,0.0,22.2,0,0,0,0.4,0.4,0.22,-0.4,-0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,27,24,3,0,0,0,0,0,0,0,0,0,20,0,0,Forwards
Akor Adams,ng NGA,FW,Montpellier,25-075,2000,11.9,fr Ligue 1,251,5,19,118,117,49,251,14,7,50.0,6,42.9,126,661,279,11,5,7,16,14,174,45,2,0,0,17,8,16,5,1,3,2,0,0,24,28,27,50.9,112,179,62.6,1540,198,72,101,71.3,32,49,65.3,3,10,30.0,1,1.0,0.1,0.0,12,8,0,0,6,4,3,1,2,1,3,4,75.0,1,2,1,1,1,5,5,1,3,26,12,46.2,2.18,1.0,0.12,0.25,13.3,0,0,0,4.3,4.3,0.16,-1.3,-1.3,25,2.09,18,0,4,1,2,0,5,0.42,2,0,1,0,2,0,179,160,17,0,1,2,5,0,0,0,0,0,112,2,7,Forwards
Che Adams,sct SCO,FW,Torino,28-275,1996,24.0,it Serie A,661,15,48,327,295,75,660,34,10,29.4,20,58.8,413,1731,606,19,15,5,53,26,510,123,2,0,0,24,30,17,9,2,3,0,0,0,43,31,52,37.3,342,466,73.4,5340,1037,183,236,77.5,113,142,79.6,28,41,68.3,3,1.9,2.8,1.1,24,27,6,0,33,8,3,1,3,4,0,4,0.0,4,10,5,5,2,10,17,0,8,47,20,42.6,1.96,0.83,0.17,0.4,16.5,0,0,1,6.4,5.6,0.12,1.6,2.4,56,2.34,45,1,0,5,5,0,5,0.21,4,0,0,1,0,0,466,430,35,3,4,5,9,1,0,0,0,0,342,1,16,Forwards
Tyler Adams,us USA,MF,Bournemouth,26-059,1999,15.3,eng Premier League,939,40,239,545,164,12,939,14,2,14.3,9,64.3,448,2051,936,11,15,1,21,9,500,7,4,0,0,34,17,0,3,29,43,0,1,0,82,24,15,61.5,607,728,83.4,9588,2285,297,334,88.9,266,303,87.8,25,45,55.6,3,0.8,0.4,2.2,13,48,2,1,54,70,43,22,41,7,31,57,54.4,26,24,6,18,29,99,32,0,0,6,1,16.7,0.39,0.07,0.0,0.0,18.7,0,0,0,1.2,1.2,0.19,-1.2,-1.2,30,1.96,26,0,0,0,0,4,4,0.26,3,0,0,0,0,1,728,690,34,30,1,0,3,4,0,0,0,0,607,4,9,Central Midfielders
Junior Adamu,at AUT,FW,Freiburg,23-312,2001,13.9,de Bundesliga,434,16,41,209,189,63,434,25,10,40.0,15,60.0,222,858,287,7,5,4,45,18,292,70,5,1,0,33,20,10,5,10,1,0,0,0,41,45,86,34.4,167,267,62.5,1985,251,100,148,67.6,43,63,68.3,1,3,33.3,1,1.5,1.8,-0.5,14,4,6,0,10,4,1,1,2,1,1,7,14.3,6,11,0,11,10,14,16,0,2,29,11,37.9,2.09,0.79,0.07,0.18,12.2,0,0,0,4.7,4.7,0.16,-2.7,-2.7,26,1.87,19,0,1,3,3,0,3,0.22,2,0,0,1,0,0,267,252,13,0,1,0,5,2,0,0,0,0,167,2,11,Forwards
Tosin Adarabioyo,eng ENG,DF,Chelsea,27-202,1997,13.6,eng Premier League,1193,159,567,601,26,13,1193,4,3,75.0,0,0.0,710,2932,1688,5,2,0,3,0,913,1,3,0,0,8,6,1,0,10,10,0,0,0,34,36,26,58.1,984,1077,91.4,18002,6448,374,391,95.7,551,581,94.8,57,94,60.6,1,0.2,0.2,0.8,1,53,1,0,37,14,10,10,4,0,8,12,66.7,4,9,7,2,10,24,61,0,1,12,2,16.7,0.88,0.15,0.08,0.5,12.5,0,0,0,0.9,0.9,0.08,0.1,0.1,12,0.88,7,0,0,5,0,0,1,0.07,0,0,0,1,0,0,1077,1040,35,19,2,3,0,4,0,0,0,0,984,2,3,Defender
Martin Adeline,fr FRA,MF,Reims,21-133,2003,0.3,fr Ligue 1,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,8,10,80.0,138,11,3,3,100.0,3,4,75.0,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,0,1,1,0,1,0,1,2,50.0,1,0,0,0,0,1,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,8,0,0,Central Midfielders
Karim Adeyemi,de GER,"FW,MF",Dortmund,23-086,2002,13.0,de Bundesliga,532,8,43,200,297,69,532,74,35,47.3,36,48.6,349,2659,1297,56,30,32,31,26,388,127,3,0,0,19,14,4,21,5,14,0,0,0,45,8,9,47.1,258,344,75.0,3843,751,142,174,81.6,88,105,83.8,14,21,66.7,4,5.3,3.6,-1.3,24,9,17,1,25,17,14,5,6,6,7,14,50.0,7,12,1,11,5,22,5,0,4,40,14,35.0,3.07,1.08,0.1,0.29,18.1,0,0,0,4.2,4.2,0.1,-0.2,-0.2,48,3.7,28,1,10,6,2,1,8,0.62,5,0,2,1,0,0,344,332,10,1,2,1,21,6,2,2,0,0,258,2,18,Attacking Midfielders
Simon Adingra,ci CIV,"FW,MF",Brighton,23-103,2002,9.2,eng Premier League,418,6,55,127,241,56,418,42,17,40.5,25,59.5,277,1805,840,30,17,14,30,9,294,104,0,0,0,9,2,2,31,7,9,0,0,0,36,4,2,66.7,215,287,74.9,3107,676,134,155,86.5,62,84,73.8,13,24,54.2,1,1.7,2.3,-0.7,12,5,12,5,14,16,9,8,6,2,6,18,33.3,12,9,0,9,7,23,4,1,2,24,7,29.2,2.62,0.76,0.08,0.29,16.1,0,0,0,2.2,2.2,0.09,-0.2,-0.2,34,3.71,24,0,5,5,0,0,6,0.66,4,0,1,1,0,0,287,279,7,0,1,0,31,6,1,0,0,0,215,1,9,Attacking Midfielders
