Player,Nation,Pos,Squad,Age,Born,90s,Comp,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Take Ons - Attempted,Succ,Succ%,Tkld,Tkld%,Carries,Carries - TotDist,Carries - PrgDist,Carries - PrgC,Carries - Final 1/3 Entry,Carries - CPA,Carries - Miscontrols,Carries - Dispossessed,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Total - Cmp,Total - Att,Total - Cmp%,TotDist,PrgDist,Short - Cmp,Short - Att,Short - Cmp%,Medium - Cmp,Medium - Att,Medium - Cmp%,Long - Cmp,Long - Att,Long - Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Tackles - Tkl,Tackles - Def 3rd,Tackles - Mid 3rd,Tackles - Att 3rd,Dribblers Tackled - Tkl,Att,Tkl%,Total Blocks,Shots Blocked,Passes Blocked,Tkl+Int,Clr,Err,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,SCA,SCA90,SCA - PassLive,SCA - PassDead,SCA - TO,SCA - Sh,SCA - Fld,SCA - Def,GCA,GCA90,GCA - PassLive,GCA - PassDead,GCA - TO,GCA - Sh,GCA - Fld,GCA - Def,Dead,TB,Sw,TI,CK,In,Out,Str,Cmp,Blocks,Season,position_group,Age_Years
Przemysław Frankowski,pl POL,DF,Lens,28,1995,24.4,fr Ligue 1,1584,49,299,646,647,55,1582,30,12,40.0,18,60.0,1056,5787,2415,56,42,6,36,15,997,210,4,0,0,33,12,0,118,25,39,0,0,0,96,17,26,39.5,1008,1320,76.4,16279,5614,503,580,86.7,406,525,77.3,70,137,51.1,2,3.8,5.0,-1.8,39,75,43,15,112,60,25,26,9,31,74,41.9,30,7,23,85,36,0,3,29,8,27.6,1.19,0.33,0.07,0.25,21.7,2,1,2,3.7,2.1,0.08,-0.7,-0.1,76,3.12,63,8,2,2,0,1,4,0.16,3,0,0,1,0,0,206,3,5,188,10,3,4,0,1008,38,2023-2024,Defender,28
Nathan Fraser,ie IRL,FW,Wolves,18,2005,2.1,eng Premier League,62,4,10,28,25,5,62,0,0,0.0,0,0.0,32,88,22,1,1,1,4,2,39,21,1,0,0,5,3,0,0,1,2,0,0,0,8,3,9,25.0,33,42,78.6,380,45,24,27,88.9,7,10,70.0,0,0,0.0,0,0.1,0.1,-0.1,2,0,2,0,2,5,2,1,2,1,3,33.3,2,1,1,6,2,0,0,3,2,66.7,1.45,0.97,0.0,0.0,16.6,0,0,0,0.3,0.3,0.11,-0.3,-0.3,6,2.92,5,0,0,1,0,0,0,0.0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,33,3,2023-2024,Forwards,18
Davide Frattesi,it ITA,MF,Inter,23,1999,10.6,it Serie A,428,28,96,194,140,56,428,21,7,33.3,13,61.9,250,1689,781,27,17,10,17,16,301,40,1,0,0,12,16,1,11,5,6,1,0,0,38,14,15,48.3,235,301,78.1,3468,1047,126,147,85.7,82,103,79.6,14,18,77.8,3,1.9,2.0,1.1,10,18,13,1,37,10,3,7,0,4,8,50.0,9,3,6,15,19,0,6,32,13,40.6,3.02,1.23,0.19,0.46,11.4,0,0,0,7.1,7.1,0.22,-1.1,-1.1,26,2.45,21,0,0,3,2,0,6,0.57,4,0,0,1,1,0,7,2,2,1,0,0,0,0,235,7,2023-2024,Central Midfielders,23
Morten Frendrup,dk DEN,MF,Genoa,22,2001,34.9,it Serie A,1651,70,404,922,345,36,1651,25,16,64.0,8,32.0,762,3773,1611,36,20,4,55,14,870,69,6,0,0,49,35,1,12,51,72,0,1,0,197,31,29,51.7,979,1224,80.0,14254,3493,548,625,87.7,333,401,83.0,45,83,54.2,5,1.6,1.4,3.4,13,69,14,1,105,133,47,70,16,55,91,60.4,55,14,41,184,42,1,2,30,4,13.3,0.86,0.11,0.07,0.5,20.5,0,0,0,1.7,1.7,0.06,0.3,0.3,59,1.69,44,0,1,4,6,4,9,0.26,8,0,0,1,0,0,41,1,4,22,0,0,0,0,979,38,2023-2024,Central Midfielders,22
Remo Freuler,ch SUI,MF,Bologna,31,1992,29.2,it Serie A,2178,81,525,1304,361,33,2178,12,8,66.7,3,25.0,1177,5516,2531,37,28,5,27,16,1564,48,9,0,0,44,15,0,9,36,50,0,1,0,137,20,27,42.6,1710,1890,90.5,25295,6603,949,1009,94.1,653,696,93.8,50,86,58.1,1,1.1,1.3,-0.1,19,133,15,0,165,78,41,32,5,38,69,55.1,37,9,28,114,53,2,1,14,4,28.6,0.48,0.14,0.07,0.25,17.4,0,0,0,1.2,1.2,0.09,-0.2,-0.2,56,1.92,50,2,1,1,1,1,5,0.17,4,0,0,1,0,0,97,1,4,10,0,0,0,0,1710,22,2023-2024,Central Midfielders,31
Marco Friedl,at AUT,DF,Werder Bremen,25,1998,24.4,de Bundesliga,1379,234,824,541,34,4,1379,6,5,83.3,1,16.7,751,3710,1801,4,6,0,13,5,786,2,6,0,0,31,17,1,4,35,32,0,1,0,138,40,41,49.4,930,1081,86.0,19543,6566,250,275,90.9,536,572,93.7,141,215,65.6,0,0.1,0.3,-0.1,1,49,4,1,59,53,38,15,0,36,48,75.0,45,29,16,88,129,0,1,7,1,14.3,0.29,0.04,0.14,1.0,25.1,0,0,0,0.2,0.2,0.04,0.8,0.8,4,0.16,4,0,0,0,0,0,1,0.04,1,0,0,0,0,0,43,0,3,5,0,0,0,0,930,5,2023-2024,Defender,25
Marvin Friedrich,de GER,DF,Gladbach,27,1995,17.4,de Bundesliga,1089,158,670,375,47,17,1089,3,2,66.7,1,33.3,652,2780,1267,2,7,1,10,1,725,4,1,0,0,10,10,0,2,17,15,0,0,0,68,37,19,66.1,755,905,83.4,12979,5177,315,334,94.3,390,429,90.9,39,111,35.1,0,0.2,0.1,-0.2,5,29,1,0,34,23,16,6,1,12,20,60.0,28,20,8,40,87,0,0,12,2,16.7,0.69,0.11,0.0,0.0,15.7,0,0,0,0.6,0.6,0.05,-0.6,-0.6,14,0.81,11,0,1,2,0,0,1,0.06,1,0,0,0,0,0,43,0,4,20,0,0,0,0,755,9,2023-2024,Defender,27
Jeremie Frimpong,nl NED,DF,Leverkusen,22,2000,25.0,de Bundesliga,1329,19,158,406,784,205,1329,106,48,45.3,48,45.3,824,6275,3756,153,62,73,51,37,941,348,6,0,0,21,34,12,93,7,17,1,0,0,94,13,13,50.0,797,1026,77.7,10923,2301,541,622,87.0,206,279,73.8,29,49,59.2,7,5.9,5.4,1.1,45,20,36,15,49,26,12,7,7,8,20,40.0,26,0,26,33,17,0,9,55,21,38.2,2.2,0.84,0.16,0.43,13.9,0,0,0,8.2,8.2,0.15,0.8,0.8,84,3.36,59,0,15,5,5,0,9,0.36,6,0,2,0,1,0,103,4,4,100,0,0,0,0,797,38,2023-2024,Defender,22
Jorge de Frutos,es ESP,"FW,MF",Rayo Vallecano,26,1997,17.2,es La Liga,668,17,97,258,333,49,668,49,15,30.6,25,51.0,380,2508,1383,42,29,12,33,15,450,144,1,0,0,15,25,4,53,7,8,0,0,0,81,14,18,43.8,344,483,71.2,5142,1306,193,237,81.4,120,163,73.6,16,32,50.0,0,1.4,1.2,-1.4,17,23,20,8,40,19,5,8,6,7,22,31.8,12,0,12,26,18,0,2,29,11,37.9,1.68,0.64,0.07,0.18,17.8,0,0,0,2.6,2.6,0.09,-0.6,-0.6,51,2.96,38,3,4,3,2,1,1,0.06,0,0,0,1,0,0,17,0,1,8,7,3,4,0,344,24,2023-2024,Attacking Midfielders,26
Chris Führich,de GER,"FW,MF",Stuttgart,25,1998,28.5,de Bundesliga,1667,8,117,628,948,124,1666,153,73,47.7,68,44.4,1070,8503,4459,153,106,56,53,27,1267,259,2,0,0,6,10,3,100,7,19,0,0,0,119,4,14,22.2,1112,1370,81.2,15384,4203,666,737,90.4,325,391,83.1,52,121,43.0,7,8.0,9.2,-1.0,53,59,61,9,145,30,6,14,10,16,37,43.2,31,0,31,37,7,0,8,53,24,45.3,1.86,0.84,0.15,0.33,17.7,2,0,1,6.6,5.8,0.11,1.4,2.2,137,4.8,93,17,15,9,2,1,17,0.6,14,1,2,0,0,0,131,7,10,41,61,31,7,0,1112,34,2023-2024,Attacking Midfielders,25
Shiō Fukuda,jp JPN,"FW,MF",Gladbach,19,2004,0.4,de Bundesliga,15,0,2,4,9,5,15,1,1,100.0,0,0.0,8,41,4,0,0,0,1,3,9,2,0,0,0,1,0,0,0,1,0,0,0,0,2,3,4,42.9,3,6,50.0,34,5,2,2,100.0,1,4,25.0,0,0,0.0,0,0.0,0.0,0.0,1,0,0,0,0,2,1,1,0,1,2,50.0,0,0,0,3,0,0,0,2,0,0.0,5.0,0.0,0.0,0.0,8.1,0,0,0,0.2,0.2,0.08,-0.2,-0.2,2,4.86,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2023-2024,Attacking Midfielders,19
Angelo Fulgini,fr FRA,MF,Lens,26,1996,15.3,fr Ligue 1,996,19,97,439,471,48,996,42,18,42.9,22,52.4,692,3650,1415,35,42,7,33,36,667,117,1,0,0,8,25,1,114,8,14,0,0,0,79,33,30,52.4,569,789,72.1,9396,2835,278,335,83.0,189,248,76.2,67,133,50.4,2,3.2,4.0,-1.2,38,46,20,6,74,23,6,13,4,11,19,57.9,22,1,21,31,11,0,1,46,10,21.7,3.01,0.65,0.02,0.1,19.0,7,0,0,3.2,3.2,0.07,-2.2,-2.2,69,4.51,40,20,1,4,4,0,4,0.26,2,2,0,0,0,0,113,10,5,8,74,34,35,0,569,15,2023-2024,Central Midfielders,26
Niclas Füllkrug,de GER,FW,Werder Bremen,30,1993,2.0,de Bundesliga,85,2,7,44,34,5,85,1,0,0.0,1,100.0,45,154,71,2,1,0,4,1,70,12,0,0,0,2,7,3,0,0,1,0,0,0,3,12,11,52.2,48,66,72.7,799,274,27,33,81.8,15,22,68.2,6,7,85.7,0,0.3,0.4,-0.3,2,7,2,0,9,1,0,1,0,1,1,100.0,2,1,1,1,1,0,0,5,1,20.0,2.5,0.5,0.0,0.0,15.6,0,0,0,0.5,0.5,0.09,-0.5,-0.5,7,3.5,6,0,0,1,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,48,2,2023-2024,Forwards,30
Niclas Füllkrug,de GER,FW,Dortmund,30,1993,24.6,de Bundesliga,782,31,71,353,360,105,779,20,5,25.0,10,50.0,409,1511,560,17,16,11,50,23,620,119,1,0,0,26,37,11,5,2,2,0,0,0,39,67,104,39.2,378,572,66.1,4822,1141,241,340,70.9,75,110,68.2,23,36,63.9,8,3.1,3.3,4.9,34,25,16,1,49,7,1,6,0,2,8,25.0,17,4,13,9,25,0,12,50,23,46.0,2.03,0.94,0.18,0.39,12.2,0,3,3,12.4,10.0,0.2,-0.4,-1.0,57,2.32,50,0,0,4,3,0,11,0.45,10,0,0,1,0,0,14,4,5,0,0,0,0,0,378,23,2023-2024,Forwards,30
Gerardo Fusco,it ITA,FW,Salernitana,18,2005,0.2,it Serie A,9,0,0,6,3,1,9,1,0,0.0,1,100.0,3,18,0,0,0,0,0,0,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,5,7,71.4,46,1,3,4,75.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,12.0,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2023-2024,Forwards,18
Daniel Fuzato,br BRA,GK,Getafe,26,1997,0.1,es La Liga,11,10,11,0,0,0,11,0,0,0.0,0,0.0,4,20,19,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,5,10,50.0,185,140,0,0,0.0,1,1,100.0,4,9,44.4,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,2023-2024,GK,26
Matteo Gabbia,it ITA,DF,Milan,23,1999,14.2,it Serie A,1035,116,518,482,40,21,1035,2,2,100.0,0,0.0,611,3097,1627,11,4,0,5,2,719,2,5,0,0,27,8,0,0,10,20,0,0,0,62,35,18,66.0,815,902,90.4,16174,4946,220,237,92.8,501,530,94.5,88,115,76.5,1,0.3,0.2,0.7,3,46,0,0,42,29,15,13,1,18,24,75.0,11,6,5,39,48,0,2,11,5,45.5,0.78,0.35,0.18,0.4,12.4,0,0,0,1.6,1.6,0.14,0.4,0.4,8,0.56,4,1,0,2,0,1,1,0.07,0,0,0,1,0,0,39,0,2,4,0,0,0,0,815,7,2023-2024,Defender,23
Matteo Gabbia,it ITA,DF,Villarreal,23,1999,5.3,es La Liga,369,56,201,159,9,2,369,0,0,0.0,0,0.0,205,963,555,1,1,0,4,0,244,0,2,0,0,9,3,0,0,8,6,0,0,0,20,17,5,77.3,267,299,89.3,5210,1745,93,102,91.2,144,151,95.4,29,42,69.0,0,0.1,0.1,-0.1,1,15,1,0,9,10,4,6,0,5,8,62.5,5,2,3,18,36,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,5,0.94,5,0,0,0,0,0,1,0.19,1,0,0,0,0,0,15,0,5,0,0,0,0,0,267,0,2023-2024,Defender,23
Gianluca Gaetano,it ITA,"FW,MF",Cagliari,23,2000,8.3,it Serie A,328,5,22,162,154,19,327,30,10,33.3,14,46.7,179,1122,473,17,14,6,17,15,214,42,1,1,0,10,12,3,15,3,4,0,0,0,41,4,24,14.3,171,236,72.5,2666,927,86,103,83.5,67,91,73.6,12,24,50.0,1,1.3,0.6,-0.3,16,30,10,1,41,7,0,4,3,2,7,28.6,4,0,4,10,4,0,4,13,5,38.5,1.57,0.6,0.23,0.6,22.5,0,1,1,1.3,0.5,0.04,2.7,2.5,34,4.11,27,1,3,1,2,0,3,0.36,1,0,1,1,0,0,18,2,1,0,4,1,2,0,171,5,2023-2024,Attacking Midfielders,23
Gianluca Gaetano,it ITA,MF,Napoli,23,2000,1.8,it Serie A,118,4,12,68,41,5,118,5,1,20.0,4,80.0,58,295,155,6,1,1,5,3,76,5,1,0,0,3,1,0,3,1,1,1,0,0,15,1,3,25.0,70,79,88.6,1030,257,36,40,90.0,26,27,96.3,3,4,75.0,0,0.5,0.4,-0.5,5,4,3,3,6,4,0,4,0,2,4,50.0,5,2,3,5,4,0,1,9,4,44.4,5.03,2.24,0.11,0.25,22.2,0,0,0,0.6,0.6,0.07,0.4,0.4,8,4.44,7,0,0,0,1,0,1,0.56,0,0,0,0,1,0,1,0,1,0,0,0,0,0,70,1,2023-2024,Central Midfielders,23
Roberto Gagliardini,it ITA,"MF,DF",Monza,29,1994,26.2,it Serie A,1761,94,439,1034,310,42,1761,17,8,47.1,7,41.2,1045,5931,2950,38,36,2,28,14,1222,36,5,0,0,26,21,1,8,31,30,0,1,0,140,46,36,56.1,1339,1487,90.0,23611,5656,563,607,92.8,648,690,93.9,101,135,74.8,2,1.7,2.0,0.3,20,114,10,1,120,61,27,25,9,31,50,62.0,30,11,19,92,38,0,1,36,9,25.0,1.37,0.34,0.03,0.11,17.8,1,0,0,2.9,2.9,0.08,-1.9,-1.9,51,1.94,45,2,0,1,3,0,3,0.11,3,0,0,0,0,0,57,2,13,8,3,0,0,0,1339,11,2023-2024,Defensive-Midfielders,29
Cody Gakpo,nl NED,"FW,MF",Liverpool,24,1999,18.3,eng Premier League,809,15,77,335,412,107,809,54,31,57.4,17,31.5,549,3003,1472,43,31,13,44,32,618,130,1,0,0,28,38,8,21,14,17,0,0,0,81,32,27,54.2,436,564,77.3,6130,1738,266,315,84.4,136,183,74.3,18,24,75.0,5,2.9,2.7,2.1,25,43,32,5,83,27,8,14,5,8,25,32.0,21,4,17,41,7,0,8,66,24,36.4,3.6,1.31,0.12,0.33,15.4,0,0,0,9.0,9.0,0.14,-1.0,-1.0,73,3.98,47,1,6,12,5,2,10,0.55,6,0,1,2,1,0,15,1,2,6,0,0,0,0,436,15,2023-2024,Attacking Midfielders,24
Javi Galán,es ESP,DF,Atlético Madrid,28,1994,1.0,es La Liga,78,0,17,19,43,3,78,4,2,50.0,0,0.0,52,289,146,3,1,0,5,3,48,13,1,0,0,1,4,0,6,1,4,0,0,0,7,3,1,75.0,45,60,75.0,666,154,24,28,85.7,19,24,79.2,1,5,20.0,0,0.1,0.1,-0.1,2,0,2,1,4,5,2,2,1,4,5,80.0,1,0,1,6,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,4,4.04,2,1,1,0,0,0,0,0.0,0,0,0,0,0,0,11,0,0,9,2,0,1,0,45,3,2023-2024,Defender,28
Javi Galán,es ESP,DF,Real Sociedad,28,1994,11.9,es La Liga,809,18,185,383,253,13,809,44,18,40.9,19,43.2,427,2661,1593,46,17,5,16,11,473,70,3,0,0,21,19,3,46,14,22,0,1,0,61,7,6,53.8,526,657,80.1,8925,2880,257,284,90.5,222,272,81.6,39,75,52.0,1,0.7,0.9,0.3,10,36,15,10,45,38,15,19,4,15,30,50.0,24,1,23,52,17,1,0,3,1,33.3,0.25,0.08,0.0,0.0,20.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,22,1.84,19,2,0,1,0,0,3,0.25,3,0,0,0,0,0,122,1,8,111,0,0,0,0,526,16,2023-2024,Defender,28
Iñigo Ruiz de Galarreta,es ESP,MF,Athletic Club,29,1993,23.2,es La Liga,1407,30,194,883,345,7,1407,33,22,66.7,8,24.2,782,3740,1637,26,29,1,24,29,948,36,7,0,0,54,41,0,57,12,31,0,0,1,152,22,23,48.9,993,1232,80.6,17537,5134,460,527,87.3,410,474,86.5,103,171,60.2,1,2.3,2.5,-1.3,26,127,23,4,147,49,15,26,8,24,49,49.0,18,5,13,61,17,0,1,11,2,18.2,0.47,0.09,0.09,0.5,25.4,0,0,0,0.3,0.3,0.03,0.7,0.7,56,2.41,42,12,0,0,2,0,9,0.39,9,0,0,0,0,0,69,8,20,2,36,1,30,0,993,18,2023-2024,Central Midfielders,29
Pablo Galdames Millán,cl CHI,"MF,DF",Genoa,26,1996,0.1,it Serie A,26,0,1,19,6,1,26,0,0,0.0,0,0.0,9,47,24,0,0,0,1,0,16,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,50.0,21,23,91.3,411,173,7,8,87.5,12,12,100.0,2,3,66.7,0,0.0,0.0,0.0,0,6,0,0,5,0,0,0,0,0,0,0.0,1,0,1,0,0,0,0,1,1,100.0,8.18,8.18,0.0,0.0,14.1,0,0,0,0.0,0.0,0.03,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,2023-2024,Defensive-Midfielders,26
Conor Gallagher,eng ENG,MF,Chelsea,23,2000,34.8,eng Premier League,2443,77,468,1221,793,79,2443,65,38,58.5,18,27.7,1453,7243,2979,62,54,14,69,39,1739,122,9,1,1,83,64,1,64,43,52,0,0,0,221,25,28,47.2,1801,2018,89.2,26732,5954,1054,1116,94.4,598,654,91.4,95,146,65.1,7,5.0,3.5,2.0,52,135,32,4,172,85,37,31,17,33,77,42.9,50,11,39,128,34,0,5,48,17,35.4,1.38,0.49,0.1,0.29,20.4,0,0,0,4.2,4.2,0.09,0.8,0.8,109,3.14,78,15,5,4,1,6,14,0.4,7,5,0,1,0,1,122,5,7,17,45,15,12,2,1801,29,2023-2024,Central Midfielders,23
Antonino Gallo,it ITA,DF,Lecce,23,2000,27.7,it Serie A,1660,84,568,720,396,22,1660,42,19,45.2,20,47.6,803,4729,2861,69,53,12,27,13,848,101,2,0,0,9,17,3,138,25,27,0,0,0,161,25,33,43.1,995,1408,70.7,18535,7959,418,478,87.4,422,560,75.4,130,290,44.8,3,4.5,3.1,-1.5,47,85,44,32,125,43,31,11,1,31,49,63.3,34,9,25,68,67,0,0,15,3,20.0,0.54,0.11,0.0,0.0,22.0,0,0,0,0.5,0.5,0.04,-0.5,-0.5,72,2.6,55,10,4,1,1,1,4,0.14,4,0,0,0,0,0,313,0,9,249,15,1,7,0,995,37,2023-2024,Defender,23
Cristian Gamboa,cr CRC,DF,Bochum,33,1989,13.2,de Bundesliga,603,38,189,305,117,1,603,12,5,41.7,4,33.3,276,1235,527,12,11,0,11,3,282,16,6,0,0,14,6,0,23,15,18,0,1,0,74,12,9,57.1,350,475,73.7,6353,2438,155,175,88.6,146,187,78.1,43,97,44.3,1,0.5,0.9,0.5,10,28,12,6,33,24,12,11,1,14,33,42.4,20,7,13,39,34,1,0,6,1,16.7,0.45,0.08,0.0,0.0,31.2,0,0,0,0.1,0.1,0.01,-0.1,-0.1,20,1.52,15,3,0,2,0,0,2,0.15,1,1,0,0,0,0,91,0,3,88,0,0,0,0,350,6,2023-2024,Defender,33
Kévin Gameiro,fr FRA,"FW,MF",Strasbourg,36,1987,15.0,fr Ligue 1,571,5,51,272,256,46,569,13,7,53.8,5,38.5,448,2487,909,26,25,10,25,15,428,81,0,0,0,3,6,3,10,3,10,0,0,0,48,4,12,25.0,373,461,80.9,5374,1194,214,247,86.6,112,141,79.4,25,31,80.6,2,2.7,3.0,-0.7,24,28,10,1,44,10,5,3,2,2,17,11.8,9,0,9,13,7,0,4,27,10,37.0,1.81,0.67,0.07,0.2,19.8,1,2,2,3.4,1.9,0.07,0.6,0.1,52,3.48,43,0,2,6,1,0,5,0.33,2,0,0,3,0,0,12,4,1,0,0,0,0,0,373,14,2023-2024,Attacking Midfielders,36
Idrissa Gana Gueye,sn SEN,MF,Everton,33,1989,20.9,eng Premier League,1126,59,280,608,252,21,1126,25,11,44.0,11,44.0,592,2976,1431,29,26,2,17,20,670,41,8,0,0,35,31,0,11,28,44,0,0,0,174,13,9,59.1,758,898,84.4,11688,3236,384,428,89.7,317,361,87.8,39,66,59.1,0,1.1,0.8,-1.1,15,70,9,1,83,73,32,27,14,29,46,63.0,24,7,17,101,16,0,4,26,7,26.9,1.24,0.33,0.15,0.57,22.2,1,0,0,1.3,1.3,0.05,2.7,2.7,52,2.48,37,0,0,5,4,6,4,0.19,4,0,0,0,0,0,13,2,6,4,0,0,0,0,758,14,2023-2024,Central Midfielders,33
Ignatius Ganago,cm CMR,"FW,MF",Nantes,24,1999,2.0,fr Ligue 1,77,1,4,24,51,10,77,1,0,0.0,1,100.0,64,438,109,7,2,3,4,3,62,26,0,0,0,2,6,1,6,1,0,0,0,0,8,5,6,45.5,31,53,58.5,475,169,17,23,73.9,11,20,55.0,2,2,100.0,0,0.6,0.5,-0.6,4,1,3,1,5,0,0,0,0,0,1,0.0,1,0,1,1,1,0,0,6,0,0.0,2.93,0.0,0.0,0.0,10.8,0,0,0,0.4,0.4,0.07,-0.4,-0.4,5,2.45,4,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,31,3,2023-2024,Attacking Midfielders,24
Aleix García,es ESP,MF,Girona,26,1997,35.5,es La Liga,3220,149,780,1809,651,18,3220,24,15,62.5,6,25.0,1923,9334,4604,58,44,3,26,15,2403,52,4,1,0,29,36,1,192,36,28,0,0,0,208,17,23,42.5,2567,2935,87.5,47017,14261,1226,1293,94.8,945,1018,92.8,334,518,64.5,6,5.5,6.0,0.5,57,306,27,8,294,49,17,26,6,28,54,51.9,45,17,28,85,53,3,3,39,12,30.8,1.1,0.34,0.08,0.25,26.4,8,0,0,1.8,1.8,0.05,1.2,1.2,129,3.63,82,40,1,1,4,1,21,0.59,16,5,0,0,0,0,254,5,87,11,122,50,52,1,2567,24,2023-2024,Central Midfielders,26
Álvaro García,es ESP,"FW,MF",Rayo Vallecano,30,1992,27.5,es La Liga,1102,33,196,354,567,101,1102,25,10,40.0,14,56.0,547,2790,1229,56,21,22,54,11,696,252,8,1,1,25,23,25,121,36,25,1,0,0,111,14,27,34.1,518,825,62.8,7725,2288,301,381,79.0,166,258,64.3,30,109,27.5,1,3.0,2.9,-2.0,39,30,34,21,63,34,15,10,9,7,34,20.6,35,0,35,70,33,0,6,45,17,37.8,1.64,0.62,0.13,0.35,16.0,0,0,0,6.2,6.2,0.14,-0.2,-0.2,79,2.87,58,5,3,4,6,3,5,0.18,4,0,0,0,1,0,35,1,3,16,10,5,3,0,518,35,2023-2024,Attacking Midfielders,30
Dani García,es ESP,MF,Athletic Club,33,1990,8.3,es La Liga,398,21,81,258,64,7,398,3,3,100.0,0,0.0,176,711,287,3,6,0,4,2,228,4,4,0,0,11,7,0,0,8,11,0,0,0,40,7,8,46.7,279,331,84.3,4585,1255,136,152,89.5,110,129,85.3,22,34,64.7,0,0.2,0.2,-0.2,2,24,3,0,36,17,4,7,6,12,24,50.0,9,3,6,25,11,0,1,6,3,50.0,0.72,0.36,0.17,0.33,13.6,0,0,0,0.8,0.8,0.13,0.2,0.2,3,0.36,2,0,0,0,0,1,0,0.0,0,0,0,0,0,0,10,0,2,1,0,0,0,0,279,2,2023-2024,Central Midfielders,33
David García,es ESP,DF,Osasuna,29,1994,25.9,es La Liga,1585,166,665,863,64,24,1585,4,3,75.0,1,25.0,796,4308,2698,21,12,0,9,2,914,4,5,0,0,33,13,1,2,18,18,0,1,0,129,93,35,72.7,1109,1339,82.8,21953,8473,361,399,90.5,614,693,88.6,128,218,58.7,1,1.3,1.0,-0.3,5,129,5,0,133,29,19,9,1,16,26,61.5,40,19,21,47,115,2,0,15,2,13.3,0.58,0.08,0.0,0.0,9.8,0,0,0,1.0,1.0,0.06,-1.0,-1.0,18,0.69,16,0,0,1,0,1,3,0.12,2,0,0,1,0,0,77,3,11,8,0,0,0,0,1109,6,2023-2024,Defender,29
Eric García,es ESP,DF,Barcelona,22,2001,0.6,es La Liga,53,2,18,33,2,1,53,0,0,0.0,0,0.0,34,171,114,0,0,0,0,0,37,0,1,0,0,1,0,0,0,0,0,0,0,0,3,1,0,100.0,46,48,95.8,802,308,22,23,95.7,21,21,100.0,3,4,75.0,0,0.0,0.0,0.0,0,4,0,0,5,0,0,0,0,0,0,0.0,1,1,0,0,0,0,0,1,0,0.0,1.58,0.0,0.0,0.0,11.0,0,0,0,0.0,0.0,0.05,0.0,0.0,1,1.58,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,6,0,2,4,0,0,0,0,46,0,2023-2024,Defender,22
Eric García,es ESP,DF,Girona,22,2001,29.3,es La Liga,2567,180,972,1378,227,23,2567,9,4,44.4,4,44.4,1604,7491,4670,45,34,1,17,9,1900,18,4,0,0,24,26,3,10,30,37,1,0,0,128,49,37,57.0,2064,2306,89.5,37231,14739,810,866,93.5,1059,1123,94.3,169,252,67.1,0,0.5,1.1,-0.5,10,223,17,2,221,55,34,18,3,34,49,69.4,36,18,18,85,79,2,5,16,6,37.5,0.55,0.2,0.31,0.83,9.4,0,0,0,2.8,2.8,0.18,2.2,2.2,42,1.43,39,0,0,2,1,0,6,0.2,6,0,0,0,0,0,175,7,18,95,0,0,0,0,2064,20,2023-2024,Defender,22
